name,author,link,rating,rating_count,review_count,pages_count,price,text_reviews,age,year
"Математические алгоритмы для программистов. 3D-графика, машинное обучение и моделирование на Python (pdf + epub)",Пол Орланд,https://www.litres.ru/book/pol-orland/matematicheskie-algoritmy-dlya-programmistov-3d-grafika-mashinn-69154042/,5.0,3,0,752,699.0,[],16,2019
Внедрение зависимостей на платформе .NET (+ epub),Николай Вильчинский,https://www.litres.ru/book/mark-siman/vnedrenie-zavisimostey-na-platforme-net-epub-66738278/,5.0,3,0,608,699.0,[],16,2019
Что такое тестирование. Курс молодого бойца,Ольга Назина,https://www.litres.ru/book/olga-nazina/chto-takoe-testirovanie-kurs-molodogo-boyca-68998117/,4.0,16,0,583,549.0,[],0,2022
Python за 7 дней. Краткий курс для начинающих (pdf+epub),Эндрю Парк,https://www.litres.ru/book/endru-park/python-za-7-dney-kratkiy-kurs-dlya-nachinauschih-pdf-epub-69434344/,4.6,5,0,260,499.0,[],16,2022
Грокаем глубокое обучение (pdf+epub),Эндрю Траск,https://www.litres.ru/book/endru-trask-21142618/grokaem-glubokoe-obuchenie-pdf-epub-48613333/,3.82,22,0,33,699.0,[],16,2019
Алгоритмы на практике. Решение реальных задач (pdf + epub),Даниэль Зингаро,https://www.litres.ru/book/daniel-zingaro-32366/algoritmy-na-praktike-reshenie-realnyh-zadach-pdf-epu-69166267/,3.5,2,0,432,699.0,[],16,2021
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#,Джеффри Рихтер,https://www.litres.ru/book/dzheffri-rihter/clr-via-c-programmirovanie-na-platforme-microsoft-net-fram-11643433/,4.68,37,0,893,699.0,[],12,2012
Kafka Streams и ksqlDB. Данные в реальном времени (pdf + epub),Митч Сеймур,https://www.litres.ru/book/mitch-seymur/kafka-streams-i-ksqldb-dannye-v-realnom-vremeni-pdf-epub-69166225/,5.0,1,0,432,699.0,[],16,2021
Тестирование веб-API (+ epub),Марк Винтерингем,https://www.litres.ru/book/mark-vinteringem/testirovanie-veb-api-epub-70504714/,0.0,0,0,304,699.0,[],16,2022
Информатика. 8 класс. Базовый уровень,Л. Л. Босова,https://www.litres.ru/book/anna-bosova/informatika-8-klass-68294039/,4.75,4,0,25,535.0,[],0,2023
Объекты. Стильное ООП (pdf + epub),Маттиас Нобак,https://www.litres.ru/book/mattias-nobak/obekty-stilnoe-oop-pdf-epub-69166270/,4.0,2,0,304,699.0,[],16,2019
